id,name,type,industry
ASN_bfe47d08b0915207ce5f3b739e2bd60484069a0f0591adf4ca6baf9f5779d27a,AS_bfe47d08b0,ASN,[]
IP_15c76057fd68eab4a13e948f63dba0899f7256c2c35c5e46ceda006a9eaa1350,104.21.xxx.xxx,IP,[]
IP_CIDR_5c1d876d997ed0a13f155adb667a158adeb71414a5806fcd54b3f652064bcc9d,104.21.xxx.0/24,IP_C,[]
IP_e4114556fb4ea771046e9e8d9af3ed40d68233063310de2bdb117c9e5577c7ba,104.21.xxx.xxx,IP,[]
IP_8a324d92c1c4bb43cc8f5c8a805c3c6b5a84208dbc79cea7b34d173e97a10619,104.21.xxx.xxx,IP,[]
Domain_b49e30a16a642ce673a3d6656a73a314e966ffd16c76e9560c6ec5a3e1b4a742,b49e30a16a.com,Domain,['A']
Domain_6ecb0132963282523fc5c01401b596d44f499e06595977e81bfe6ef776e479d2,6ecb013296.com,Domain,['B']
Domain_4e978eacee571583e3afd8b2a696c05881127f4f97dafaaae46bd8e3c6026112,4e978eacee.com,Domain,[]
Domain_48fdc8eb039825acbd94727576559309b5f60825e15afdb010cb01a45e31c341,48fdc8eb03.com,Domain,['A']
Domain_aceb53ad14693553b1bc81b76bbd203e0996fe43d47ebe67d86976164b1209ef,aceb53ad14.com,Domain,['A']
Domain_a2c202ba449f124396374987ec7cfd769d53196d2f8f3f5f06cbe4a9c5f44e26,a2c202ba44.com,Domain,"['A', 'B']"
Domain_2261b82d4cfd03f2fa0b44c658137000deea21b59539ed49bd207b87c1bf6294,2261b82d4c.com,Domain,['A']
Domain_e2e2d2fa8dd1097b59ed05e96b81b22fcb146816a59af6dba5a5a5bb1d5631d7,e2e2d2fa8d.com,Domain,"['A', 'B']"
Domain_c20e8041722153f011b344d9941fa4d53995a13cf02aee32b4d93b7c5ae79967,c20e804172.com,Domain,['A']
Domain_4c7483ebe154da7652d787a35c5dd894f482c48e326de6179f807972cad207c7,4c7483ebe1.com,Domain,['B']
Domain_a52e5e331109c2aeb85388aa7042d0ec52bfb51b8dff37413b030a642e041d1d,a52e5e3311.com,Domain,['A']
Domain_7a080743406278e8285de13b7aa06ce051ff5468b2549c728fbc7ff83ffeec21,7a08074340.com,Domain,['A']
Domain_383c63935e446f2d5eeee29bde398276b82362a641a9023984a9bd4a88246c0f,383c63935e.com,Domain,[]
Domain_ddcf9d00c8ae94a765719f9a8d1fa6496a4b948743b0ef0ff26de396447dac63,ddcf9d00c8.com,Domain,[]
Domain_c2f8bae356095dce8cf9dd3f8bf6fff6ca9b1c1f5e9fe257faf40a2c2a649fda,c2f8bae356.com,Domain,['A']
Domain_ee1a523f912da98d92a42525c07bdc648f7a1b7d1d7714548b799d37a488e7b8,ee1a523f91.com,Domain,['A']
Domain_6f486f70dc43ca3c1db167ad4520b88ecb2d8c1d74dde6b502958ae446171cd7,6f486f70dc.com,Domain,['B']
Domain_fd808ce5f035e73514aa3f88b65e998620e02bb92f5b60c6140eddb6cc04c038,fd808ce5f0.com,Domain,['A']
Domain_2dc78c27c068516f74d4f54d4b82d8bccffb027bca8e6aae5af94f6300e6a7e9,2dc78c27c0.com,Domain,['A']
