id,name,type,industry
ASN_645c789aee7c2ee6923a919af4a10f6876f171e2c8e55fa05547184ea0eccc17,AS_645c789aee,ASN,[]
ASN_7e7973a1c8ab2a60919ae500de6dae01dabd2a03785cbcc303bf55c22bbd0a0f,AS_7e7973a1c8,ASN,[]
IP_0668c195ea8057e0352d3b3dfcc4addf6885688074b332ce94492d96e7a5b43d,107.148.xxx.xxx,IP,[]
IP_3a6da64d72808d42e5209820b4198b5930dbb2e8e2f7ee03ca7cae14f5764b6f,107.148.xxx.xxx,IP,[]
IP_b1ffd471b2325cd92db87efbef431e32c80be965003bce4cb432a503397729d3,107.148.xxx.xxx,IP,[]
IP_aceedb9ff145c2e797685b4101d02d13da78baa838b9ce36ca87a9d6755a5ba5,107.148.xxx.xxx,IP,[]
IP_CIDR_a4b6307c41eb0e8644a1b8c45454a8cfa086c47270cf72960a7795bc9fd45e72,107.148.xxx.0/24,IP_C,[]
Domain_2d30d2698f64c17e9da8c729fbc4825ec5757c09d9c7d1d76f852158c9903150,2d30d2698f.com,Domain,['A']
Domain_5daeb967baf228a65532ea9675e76238179a6483feb047c4fd9922a050c9b5ae,5daeb967ba.com,Domain,['A']
Domain_09950de1a42402211656168b58bed59b9c6e905d213a6424feea9b802af8916e,09950de1a4.com,Domain,['A']
Domain_745f398760b9e96edfd1f9df1e6a718db27ff41ec81ee34b16ce98ec05be108a,745f398760.com,Domain,['A']
