id,name,type,industry
ASN_75e02bbef97e7bdf67ef510c2717d87333629dca1bd6dd2a755f4c2a5be2cb6c,AS_75e02bbef9,ASN,[]
IP_CIDR_6d841f1fddbc1defb9cd17685bf39a160d3ce60f49173a7a69f4cc5b4df7ff9d,45.43.xxx.0/24,IP_C,[]
ASN_71889ff77e767b6385c2e0c09548b2fa3754c01817eef98f7d761368b46dd247,AS_71889ff77e,ASN,[]
ASN_e7801170e7f7718955c054ab9bc821b57e1c798b29b73f3b3507488d320d30be,AS_e7801170e7,ASN,[]
IP_cd2da52fff67b6bf831cc47c47f978282aa10f5e1792eb90ad4ac3b4c7f065db,23.249.xxx.xxx,IP,[]
IP_5f4ce03bc8f4c0de692c98350a4d249dea7bbcc3bb1c6add94c03a4ee725e03f,45.43.xxx.xxx,IP,[]
IP_8b6cbda663cb473fe41aa4d9438b300dcc2669dd09934a6d99544344121da229,45.43.xxx.xxx,IP,[]
IP_f9c4a583537052a7ee2cab8e7297318cb09356b7b51d5132acd971656a2d1f57,45.43.xxx.xxx,IP,[]
IP_22ca6d566642f7ab23915893561fa8a6d6c780f667c5df0d10fa678c12ee9935,45.43.xxx.xxx,IP,[]
IP_e7dd370aaef03ea161c05dc48ab4d28b13d0c38ab612bb49d8149b6440ce2c34,45.43.xxx.xxx,IP,[]
IP_cc8f950f32958a783ee843bd2aa7619fc41266993c30eafa0a9c4049cdc653eb,45.43.xxx.xxx,IP,[]
IP_cac7a35ca1c76fda2be3706c59d0038bcf8db100f0c7faf682329ed6d446310f,45.43.xxx.xxx,IP,[]
IP_35de48cd9b60112f4099f39a9ea489b5e15440872070b586bde98f5d7ba4aecd,45.43.xxx.xxx,IP,[]
IP_CIDR_dbe7104a641eb6824db736e20a88f53ec499fb0c71bc2c50698654534bd69a58,160.121.xxx.0/24,IP_C,[]
IP_1aa0d6a0ce4e86d264f2f49244660ed00e86d290eeef58c734a6b88b394e7fd6,103.81.xxx.xxx,IP,[]
Domain_82789d42a294e7f66e90ad31119f98b7ff173ad18b9db1d2e0c22d6131f6b497,82789d42a2.com,Domain,['A']
Domain_8ed6ddae4147271dee34bdf05139bff5ec711ef1eb9c9e2b6c14add7d74c739c,8ed6ddae41.com,Domain,['A']
Domain_dcf5bd307652796cfc3384d259792e20d4de833879af3adc06bd8e70d7650ded,dcf5bd3076.com,Domain,[]
Domain_b2134f9b85e6bff63ec9464875351f17b2f8a728564bd45aedbfaf01457c3088,b2134f9b85.com,Domain,[]
Domain_6b566120515226cdf3c6159ac6f60b2270f7bb455848ca0e517a68fcc469ba6a,6b56612051.com,Domain,[]
Domain_4add6323641d4b0032bc0b947341e8e910c0c6f9bdda5c06cbffb08b8ea5f89e,4add632364.com,Domain,[]
Domain_82bf1e9944f7366a94e5a438c1c847e84e1278c4c85dd7f13f9d55ef2a5ef190,82bf1e9944.com,Domain,[]
