id,name,type,industry
Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc,8bd7ac7069.com,Domain,[]
IP_dcf3630d109e25e31f4ec590e83509d90a95874ed53e32914e0eb2f4b56e6639,117.18.xxx.xxx,IP,[]
IP_2493d10250d8cfb277bb6217bd48e2863d4a1bf81fb6cc9e755f63a88a349f32,156.230.xxx.xxx,IP,[]
IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c,156.241.xxx.xxx,IP,[]
Domain_a45498cc65547bc816a3c83255c02b160d14e4125b039a151d034ea5e8316c90,a45498cc65.com,Domain,[]
Domain_037e26b9416b7ad0c0992bb62dd857011760ad59e39e70810e2f7de249cc3061,037e26b941.com,Domain,[]
Domain_b10f98a9b53806ccd3a5ee45676c7c09366545c5b12aa96955cde3953e7ad058,b10f98a9b5.com,Domain,[]
Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425,c992a7d7f0,Cert,[]
IP_f9b588fa3410ab89fa0e50b011c9ac8ddfa4a3125ea3df13fa4598faa5e15f8a,45.114.xxx.xxx,IP,[]
IP_36b2ba5b0800d154ef3add5672b7561af9535edd92d2c3323c64880498b45a05,45.114.xxx.xxx,IP,[]
Cert_1b22e6e2c9f9d7afd041a1a0ef2178dbaaf3248c4261496a382ff46520d55e71,1b22e6e2c9,Cert,[]
