id,name,type,industry
IP_a801f34629837dfdb8cf30249990ab8dc4350da9c34ae4500921db39f9c207e6,172.67.xxx.xxx,IP,[]
Domain_a4264df092e9ce6799484b80a7fffa211038f194e754492a974c4c367aebf249,a4264df092.com,Domain,['A']
Domain_84ee11da3a7baaee7a902ad1fab0c7f97109297eb4b3c3f7d581a3e0ca3b7cad,84ee11da3a.com,Domain,['B']
Domain_4e9f5e925c1cd608d5f5faa9f5031b840129072c54b3720c9074a575fd83b55e,4e9f5e925c.com,Domain,['A']
Domain_e5af884acfb73febee52aaff8af8f2e4009844602c5e72f8d01ec371485abab0,e5af884acf.com,Domain,['B']
Domain_65a27ed36abe04350af0e6bf01fe35c46a7adb17f902be7aa3251f3ee3dbc221,65a27ed36a.com,Domain,['C']
Domain_baf10adc2ae5c024914d887b6d24c68038e1d6b10b2085f32ff50f0d67fb7a7d,baf10adc2a.com,Domain,['A']
Domain_2ae8f69e0b34591894b10ec8517fc1a62b96df70f89873624bb5bc5d259caf77,2ae8f69e0b.com,Domain,['A']
Domain_5ef0ff49e012ee72b50c836b5df45f89beb93daf4148034a097a8c62eee744a7,5ef0ff49e0.com,Domain,['B']
Domain_a8f00f5874543604069e781973125bdf22582c1320aa76abdf7cb96748361c7e,a8f00f5874.com,Domain,['A']
Domain_ead0d59a29358397dcdfaba1125f82843f00bf79cd6511336dad9ca24e598414,ead0d59a29.com,Domain,['C']
Domain_9716cc14aed1fd2755dbdb2404eac998dc2c032802ff22da896a86bfc71b067d,9716cc14ae.com,Domain,['B']
Domain_0317e1bb39912f0568a559910c22b1ae8851f4553b589a5328975c8d1142b3bb,0317e1bb39.com,Domain,[]
IP_ef96ebe015004910397a6d4a29f1e0c6aeb56008a64e4d29c875fb08867ee443,104.21.xxx.xxx,IP,[]
Domain_dd382b5f14bdb8c57d49806bb09e6d97524e89d2c1629643150cc0bb85a5fe79,dd382b5f14.com,Domain,['A']
Domain_1c7d99bb97356a964a95f6b372b723b02f9367ea0ef82b0fd693018910b61f51,1c7d99bb97.com,Domain,['B']
