id,name,type,industry
ASN_894a39aa8f6405a82567c5c1832fd3a6b110552c2fe84eafa929a3e603fc4387,AS_894a39aa8f,ASN,[]
Domain_d08b0d325a5f5c732a00bba80594ba1425e94749e868a7af78354d4740f31958,d08b0d325a.com,Domain,[]
IP_10bc1f09156100879b04b08d777ac80ba3fb1ec926e7cfa5f04d3bfe5cc52c45,156.235.xxx.xxx,IP,[]
IP_CIDR_78d2bbd6f4d90fc9766b19b1ea94132428fdba6a0db7792d78fe439a7cfc0c10,156.235.xxx.0/24,IP_C,[]
Domain_da3a7f80398fb13a8e785d92f6a636085707a606e9b46faffde316529d55604e,da3a7f8039.com,Domain,['B']
Domain_e2367153de647b94701b09a7692704125805cc7a8ac9e24098ea3f16ca9f2038,e2367153de.com,Domain,['B']
IP_ff09252bb73088fcecdc3026029b2bf30e437dcdb2e6073e419ebe06c05234d5,156.235.xxx.xxx,IP,[]
IP_887c6308d7ae434d3625db33e246713169696d82a0a1d2912f5ca2bdce4d7955,156.235.xxx.xxx,IP,[]
IP_76d48e74fee681993caf19ea162b3e4267adcbb3f0c3a1561756bd99c53bb677,156.235.xxx.xxx,IP,[]
IP_1f6466b85032177b76ab53d1d5b4a88db25fa71ffa6c2c9da907896ee70dd118,156.235.xxx.xxx,IP,[]
IP_50bac60acc79354fda37ffa6e8519e1fef136726bec2ea5f1c617630f9bb6672,156.235.xxx.xxx,IP,[]
IP_bb525562a1c52eca45166167e614b6300848772527c79af336f28db20f42dee2,156.235.xxx.xxx,IP,[]
IP_84b8c11d20163974cc73635cf0807e61111974bc5b3f92464f9d2e20b37c77ad,175.29.xxx.xxx,IP,[]
IP_fd051c116fe3556bdb5987cf56e8f386e286f661a642ecef70859e24996ddbb6,45.199.xxx.xxx,IP,[]
Domain_09eade1169b00f5f592151fdd840be0c83f719e00cc2f3bea4befef2a6dc0c79,09eade1169.com,Domain,['B']
Domain_e7bb61490bab5c8111e2f9d7dc9faa0915db42648856ac510653c78abbb7c7ca,e7bb61490b.com,Domain,['B']
Domain_f42eaa41aeea3943d8af76f5472ecef9081b340739f0aeb2fda97216c86a8a26,f42eaa41ae.com,Domain,['A']
Domain_1fc0f36c80332fd6b392a06843eacf7d8c0d872aa1f4866c103e713a203dc7d0,1fc0f36c80.com,Domain,['A']
